code,name,update_date,nav,nav_acc,dividend_ratio,volatility_20,momentum_20,drawdown,sharpe_20,mean_reversion
003638,安信永鑫增强债券C,2025-11-21,1.0779,1.3559,0.2579088969292142,0.000985056807239351,0.00027839643652582957,-0.00433250110148318,0.014597158266873857,-0.0020460878984548286
003637,安信永鑫增强债券A,2025-11-21,1.075,1.371,0.27534883720930237,0.0009816583928877367,0.0002791476691168526,-0.004284988016558949,0.014682706392190745,-0.002046964134031861
012338,中信建投双鑫债券A,2025-11-21,1.067,1.067,0.0,0.0008926949304690772,-0.0014038371548901196,-0.0049426466473935305,-0.07825745099934917,-0.0031670699464683206
019381,景顺长城景盛双益债券C,2025-11-21,1.0648,1.0648,0.0,0.0012253361296586972,-0.0001877934272300763,-0.007272049226179404,-0.007081406864511766,-0.0033835167046512116
012339,中信建投双鑫债券C,2025-11-21,1.0497,1.0497,0.0,0.0008748017515514292,-0.0017118402282453316,-0.005871768159863607,-0.09750557033121489,-0.0033090102878411297
023275,中银淳利三个月持有债券A,2025-11-21,1.0335,1.0335,0.0,0.0010423913876687922,-0.004047412546978824,-0.006058857472590856,-0.1940197128084012,-0.003783406029351477
023276,中银淳利三个月持有债券C,2025-11-21,1.0304,1.0304,0.0,0.001041601451605298,-0.00434824620736296,-0.006556112610875355,-0.20866634071238718,-0.003939196210638296
017459,汇添富丰和纯债A,2025-11-21,1.0117,1.0523,0.040130473460511976,0.002724229271294113,0.006766842471887857,-0.05385721992447407,0.1250923895004521,-0.0038695194115965143
021493,摩根丰瑞债券D,2025-11-21,1.0144,1.1316,0.11553627760252363,0.000981017999436464,-0.0009848335631279515,-0.006932865291794663,-0.04975201962832468,-0.0021689840203422297
005367,摩根丰瑞债券C,2025-11-21,1.0052,1.2575,0.2509948269001193,0.0009957135772961795,-0.0009938382031404736,-0.006478628426957403,-0.04945647660633778,-0.0021838395870557668
005366,摩根丰瑞债券A,2025-11-21,1.0059,1.2617,0.25429963217019586,0.0009908442123162415,-0.0008939213349223873,-0.006144151240645946,-0.04465762625778068,-0.002172425081093865
024113,华富富源三个月持有期债券C,2025-11-21,1.0026,1.0026,0.0,0.0009295421940252408,-0.0001994415636218383,-0.005554453481452142,-0.010287285905984095,-0.0028841372451517897
